City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Moose Factory,CA,2021-12-31 11:42:08,51.2585,-80.6094,12.2,92,90,6.91
93,San Francisco,US,2021-12-31 11:40:58,37.7749,-122.4194,46.98,86,20,1.01
94,Bandarbeyla,SO,2021-12-31 11:42:10,9.4942,50.8122,80.15,68,23,15.01
95,Winnemucca,US,2021-12-31 11:42:10,40.973,-117.7357,28.45,64,90,6.91
96,Arraial Do Cabo,BR,2021-12-31 11:42:11,-22.9661,-42.0278,76.86,88,75,11.5
97,Albany,US,2021-12-31 11:42:11,42.6001,-73.9662,42.8,95,85,2.13
98,Puerto Ayora,EC,2021-12-31 11:42:12,-0.7393,-90.3518,68.54,90,36,7.94
99,Rocha,UY,2021-12-31 11:40:19,-34.4833,-54.3333,80.4,56,36,4.94
100,Half Moon Bay,US,2021-12-31 11:42:13,37.4636,-122.4286,46.18,90,75,0.0
101,Gwanda,ZW,2021-12-31 11:42:14,-20.9333,29.0,93.94,28,69,5.19
102,Bonavista,CA,2021-12-31 11:42:15,48.6499,-53.1147,27.12,81,100,12.64
103,Clyde River,CA,2021-12-31 11:42:15,70.4692,-68.5914,-3.77,84,100,9.22
104,Iqaluit,CA,2021-12-31 11:42:16,63.7506,-68.5145,13.73,85,90,9.22
105,Ketchikan,US,2021-12-31 11:42:17,55.3422,-131.6461,19.87,93,75,3.44
106,Castro,BR,2021-12-31 11:42:17,-24.7911,-50.0119,67.5,79,92,4.5
107,Touros,BR,2021-12-31 11:42:18,-5.1989,-35.4608,83.3,66,80,12.01
108,Pitimbu,BR,2021-12-31 11:42:18,-7.4706,-34.8086,82.99,64,74,10.85
109,Kizukuri,JP,2021-12-31 11:42:19,40.8061,140.3861,20.95,76,100,22.64
110,Hitoyoshi,JP,2021-12-31 11:42:19,32.2167,130.75,35.42,76,28,3.15
111,Poum,NC,2021-12-31 11:42:20,-20.2333,164.0167,80.78,84,100,21.41
112,Kahului,US,2021-12-31 11:42:20,20.8947,-156.47,75.85,94,90,5.75
113,Warri,NG,2021-12-31 11:42:21,5.5167,5.75,101.1,26,30,1.74
114,Teahupoo,PF,2021-12-31 11:42:22,-17.8333,-149.2667,75.16,80,99,17.54
115,Weligama,LK,2021-12-31 11:42:22,5.9667,80.4167,80.74,76,75,7.25
116,Namatanai,PG,2021-12-31 11:42:23,-3.6667,152.4333,80.42,82,100,6.49
117,Koslan,RU,2021-12-31 11:42:23,63.4564,48.8989,9.99,94,100,8.25
118,Great Falls,US,2021-12-31 11:40:05,47.5002,-111.3008,0.55,79,90,4.0
119,Cidreira,BR,2021-12-31 11:42:24,-30.1811,-50.2056,76.86,71,75,8.66
120,Wichita Falls,US,2021-12-31 11:42:25,33.9137,-98.4934,57.34,47,1,5.01
121,Bethlehem,BR,2021-12-31 11:42:25,-1.4558,-48.5044,77.04,94,75,13.8
122,Udachnyy,RU,2021-12-31 11:42:26,66.4167,112.4,-31.56,81,100,2.15
123,Aklavik,CA,2021-12-31 11:42:26,68.2191,-135.0107,-30.17,100,95,2.86
124,San Pedro,PH,2021-12-31 11:42:27,14.35,121.0167,79.83,67,20,8.05
125,Abadan,IR,2021-12-31 11:42:27,30.3392,48.3043,62.55,88,40,4.61
126,Daru,PG,2021-12-31 11:42:28,-9.0763,143.2092,80.42,84,100,5.3
127,Cherskiy,RU,2021-12-31 11:42:28,68.75,161.3,-24.41,99,100,1.34
128,Labuhan,ID,2021-12-31 11:42:29,-6.8844,112.2051,80.82,82,86,7.65
129,Paka,MY,2021-12-31 11:42:30,4.6374,103.4368,76.98,94,40,10.36
130,Sevenoaks,GB,2021-12-31 11:42:31,51.27,0.1928,56.55,95,40,5.01
131,Ewa Beach,US,2021-12-31 11:42:32,21.3156,-158.0072,74.43,90,20,3.44
132,High Level,CA,2021-12-31 11:42:32,58.5169,-117.136,-25.49,75,1,4.61
133,Vao,NC,2021-12-31 11:42:33,-22.6667,167.4833,76.42,73,100,20.49
134,Noumea,NC,2021-12-31 11:41:55,-22.2763,166.4572,80.01,99,100,14.32
135,Lixourion,GR,2021-12-31 11:43:34,38.2019,20.4314,66.2,48,0,10.36
136,Bowen,AU,2021-12-31 11:43:35,-20.0167,148.2333,79.02,74,26,5.97
137,Quatre Cocos,MU,2021-12-31 11:43:36,-20.2078,57.7625,82.51,60,19,12.26
138,Bethel,US,2021-12-31 11:43:36,41.3712,-73.414,47.1,92,90,0.0
139,Shkoder,AL,2021-12-31 11:41:01,42.0683,19.5126,59.18,59,34,4.0
140,Cleethorpes,GB,2021-12-31 11:43:33,53.5605,-0.0323,59.99,82,90,21.85
141,Alyangula,AU,2021-12-31 11:43:38,-13.8483,136.4192,84.07,89,77,4.61
142,Vaini,TO,2021-12-31 11:43:39,-21.2,-175.2,77.16,94,75,1.14
143,Pandan,PH,2021-12-31 11:43:39,14.0453,124.1694,77.54,73,90,19.73
144,Saldanha,ZA,2021-12-31 11:43:40,-33.0117,17.9442,77.05,66,1,14.63
145,Ancud,CL,2021-12-31 11:43:41,-41.8697,-73.8203,54.23,88,100,15.82
146,Gold Coast,AU,2021-12-31 11:43:41,-28.0,153.4333,75.27,78,75,8.99
147,Nova Olimpia,BR,2021-12-31 11:43:42,-14.7972,-57.2881,77.99,87,89,3.8
148,Yellowknife,CA,2021-12-31 11:43:42,62.456,-114.3525,-25.08,68,75,10.36
149,Petropavlovsk-Kamchatskiy,RU,2021-12-31 11:43:14,53.0452,158.6483,34.39,60,75,20.13
