City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
511,Ponta Delgada,PT,37.7333,-25.6667,58.5,71,20,6.91
512,Gander,CA,48.9682,-54.5906,23.38,73,40,18.99
513,Gunjur,GM,13.2019,-16.7339,80.67,44,0,4.61
514,Tambopata,PE,-12.7333,-69.1833,85.89,70,75,10.36
515,Chillicothe,US,39.3331,-82.9824,35.71,64,75,8.05
516,Calvinia,ZA,-31.4707,19.776,71.64,33,100,11.36
517,Nanhai,CN,30.1282,111.7784,51.22,52,100,3.56
518,Jiazi,CN,22.8779,116.067,59.83,86,3,12.48
519,Ust-Maya,RU,60.4167,134.5333,-34.67,100,100,1.16
520,Wanaka,NZ,-44.7,169.15,63.48,70,100,1.32
521,Salekhard,RU,66.53,66.6019,-10.21,97,100,20.89
522,Soc Trang,VN,9.6033,105.98,75.16,80,93,8.14
523,Barela,IN,23.1,80.05,57.47,48,0,2.82
524,Pouembout,NC,-21.1333,164.9,76.86,90,23,2.39
525,Sibi,PK,29.5448,67.8764,64.87,39,100,6.31
526,Morant Bay,JM,17.8815,-76.4093,83.82,61,82,11.86
527,Tha Chang,TH,9.2642,99.1922,79.14,82,24,8.25
528,Ozinki,RU,51.1786,49.6769,-4.76,100,100,4.94
529,Outjo,NA,-20.1167,16.15,79.61,21,100,16.6
530,Ciudad Bolivar,VE,8.1222,-63.5497,91.08,34,9,11.05
531,Chicama,PE,-7.8447,-79.1469,68.54,58,16,10.83
532,Schladming,AT,47.3929,13.687,44.37,91,100,2.17
533,Sembe,CG,1.6481,14.5806,79.56,57,100,2.89
534,Bitkine,TD,11.9801,18.2138,70.41,24,20,8.59
535,Stephenville,US,32.2207,-98.2023,57.54,21,1,8.05
536,Pinehurst,US,35.1954,-79.4695,43.99,78,90,11.5
537,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,82.06,65,11,4.61
538,Brufut,GM,13.3814,-16.7518,80.69,44,0,4.61
539,Mecca,SA,21.4267,39.8261,66.07,62,16,8.19
540,Kieta,PG,-6.2167,155.6333,79.34,79,100,4.38
541,Ukiah,US,39.1502,-123.2078,50.99,91,90,11.5
542,Baisha,CN,26.5222,110.9311,53.85,81,100,1.12
543,Benguela,AO,-12.5763,13.4055,77.27,80,100,3.71
544,Pingliang,CN,35.5392,106.6861,29.39,51,27,1.19
545,Kyren,RU,51.6828,102.1408,6.87,83,25,2.19
546,Luganville,VU,-15.5333,167.1667,78.62,84,96,3.4
547,Tutoia,BR,-2.7619,-42.2744,84.18,79,95,11.56
548,Aktas,KZ,49.7789,72.9608,28.15,91,100,14.27
549,Cockburn Town,TC,21.4612,-71.1419,78.67,61,2,9.06
550,Epe,NG,6.5841,3.9834,79.65,72,100,6.51
551,Nara,JP,34.6851,135.8049,47.48,43,3,7.25
552,Plouzane,FR,48.3833,-4.6167,50.09,100,75,0.0
553,Velvary,CZ,50.2815,14.2362,48.67,76,100,16.62
554,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,105.26,25,1,1.36
555,Det Udom,TH,14.906,105.0784,69.62,82,100,2.89
556,Ucluelet,CA,48.9329,-125.5528,38.08,92,100,1.99
